materiale,temperatura_estrusore,temperatura_piatto,velocita_stampa,umidita_ambientale,usura_motore,livello_vibrazioni,tempo_stampa_ore,sintomi,guasto
PC,224,51,115,72,3737,15,35.2,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
TPU,161,68,76,33,3357,24,21.6,TempInstabile;TicchettioEstrusore,GuastoTermico
NYLON,228,77,58,65,1618,22,66.7,TempInstabile,ProblemaElettrico
PETG,228,76,178,57,6054,40,15.3,TicchettioEstrusore;HomeFallito,GuastoMeccanico
PETG,221,55,136,67,2771,20,45.9,Warping;TicchettioEstrusore;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
TPU,170,80,136,56,3793,57,92.9,TempInstabile;PiattoFreddo;VentolaRumorosa,GuastoTermico
PLA,220,43,45,40,1374,11,44.2,OdoreBruciato;HomeFallito;SchermoNero,ProblemaElettrico
ASA,197,43,173,68,4848,48,18.7,HomeFallito,GuastoMeccanico
TPU,195,47,102,91,1198,12,32.9,TempInstabile;HomeFallito;SchermoNero,ProblemaElettrico
ASA,196,42,80,73,229,6,85.7,PiattoFreddo,ProblemaAdesione
PC,221,57,60,59,687,11,60.1,Warping;PiattoFreddo,ProblemaAdesione
PLA,225,52,47,59,686,8,59.5,PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PETG,226,57,133,40,5480,55,68.6,RumoreCinghia;HomeFallito,GuastoMeccanico
TPU,193,63,122,67,6121,35,88.7,LayerSpostati,GuastoMeccanico
PLA,211,42,132,73,4004,39,44.6,RumoreCinghia;LayerSpostati;TicchettioEstrusore,GuastoMeccanico
ABS,224,52,84,39,546,19,82.3,Warping;TicchettioEstrusore;PiattoFreddo,ProblemaAdesione
PC,280,74,89,34,4812,14,46.9,TempTroppoAlta;PiattoFreddo;HomeFallito;VentolaRumorosa,GuastoTermico
TPU,223,64,194,40,3692,40,26.6,LayerSpostati;SottoEstrusione,GuastoMeccanico
PC,168,53,90,43,2150,9,73.7,TempInstabile;TempTroppoAlta;PiattoFreddo;TicchettioEstrusore,GuastoTermico
TPU,227,49,147,46,156,6,75.7,OdoreBruciato;TicchettioEstrusore,ProblemaElettrico
ABS,286,62,59,46,1485,18,1.6,TempTroppoAlta,GuastoTermico
NYLON,193,51,96,75,1224,17,27.6,RumoreCinghia,GuastoMeccanico
PETG,218,41,81,70,3896,15,22.9,RumoreCinghia;HomeFallito,GuastoMeccanico
NYLON,220,62,138,62,3054,36,81.8,TempInstabile;SchermoNero,ProblemaElettrico
PETG,204,78,149,64,2157,13,75.7,TempInstabile;HomeFallito;SchermoNero,ProblemaElettrico
PLA,195,61,103,66,3017,14,70.8,TempInstabile;OdoreBruciato;SchermoNero,ProblemaElettrico
NYLON,192,55,83,51,2270,16,64.0,TempInstabile;OdoreBruciato;SchermoNero,ProblemaElettrico
ASA,219,54,110,73,429,21,61.2,Warping;FilamentoNonEsce,ProblemaAdesione
PC,239,51,194,75,3441,35,77.5,LayerSpostati;HomeFallito,GuastoMeccanico
PETG,205,71,126,76,2928,8,43.0,TempInstabile;PiattoFreddo;VentolaRumorosa,GuastoTermico
NYLON,217,50,142,42,3545,52,74.7,TempInstabile;OdoreBruciato,ProblemaElettrico
TPU,191,80,40,55,1173,10,92.1,OdoreBruciato,ProblemaElettrico
ASA,256,75,123,73,3652,46,20.6,TempTroppoAlta;VentolaRumorosa,GuastoTermico
ASA,205,62,43,40,3525,21,59.4,RumoreCinghia;TicchettioEstrusore,GuastoMeccanico
PLA,235,40,78,95,1131,23,43.9,TempInstabile;OdoreBruciato;HomeFallito,ProblemaElettrico
ABS,199,77,124,36,2601,23,1.0,RumoreCinghia;TicchettioEstrusore;SottoEstrusione,GuastoMeccanico
PETG,197,41,100,67,845,12,69.3,LayerSpostati;TicchettioEstrusore;SottoEstrusione,GuastoMeccanico
NYLON,259,59,56,53,2908,17,14.3,TempInstabile,GuastoTermico
PC,194,46,103,61,3560,21,40.9,HomeFallito;SchermoNero,ProblemaElettrico
PLA,239,50,184,35,3552,32,12.0,TicchettioEstrusore;SottoEstrusione,GuastoMeccanico
ABS,232,58,46,49,971,12,91.9,TempInstabile;OdoreBruciato;SchermoNero,ProblemaElettrico
ASA,238,49,145,78,1864,14,26.2,TempInstabile;OdoreBruciato;SchermoNero,ProblemaElettrico
PLA,232,50,77,80,2179,20,16.9,TempInstabile;TempTroppoAlta;VentolaRumorosa,GuastoTermico
PC,198,51,92,77,3625,23,16.0,TempInstabile;OdoreBruciato;HomeFallito,ProblemaElettrico
PLA,202,72,90,76,1171,19,90.3,RumoreCinghia;TicchettioEstrusore,GuastoMeccanico
PLA,225,62,140,57,4453,59,69.1,RumoreCinghia,GuastoMeccanico
ABS,206,30,145,70,2784,18,81.6,Warping;HomeFallito;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
ABS,240,63,139,72,3731,53,28.1,SchermoNero,ProblemaElettrico
TPU,263,50,101,60,3065,11,11.3,VentolaRumorosa,GuastoTermico
TPU,271,57,62,67,1797,14,42.8,TempInstabile,GuastoTermico
PETG,200,50,137,36,3129,31,12.9,RumoreCinghia,GuastoMeccanico
TPU,164,47,135,43,3893,32,90.1,TempInstabile;TempTroppoAlta;VentolaRumorosa,GuastoTermico
PETG,201,57,102,80,3377,74,5.8,TicchettioEstrusore;HomeFallito,GuastoMeccanico
PETG,162,71,97,56,3628,23,78.1,PiattoFreddo,GuastoTermico
ASA,240,67,104,41,4414,72,41.8,SottoEstrusione,GuastoMeccanico
TPU,232,51,139,74,4569,46,42.0,RumoreCinghia;TicchettioEstrusore;SottoEstrusione;VentolaRumorosa,GuastoMeccanico
PC,222,28,45,65,1349,13,82.1,Warping,ProblemaAdesione
ASA,212,47,82,52,2255,18,89.7,TempInstabile;PiattoFreddo,GuastoTermico
PLA,205,52,74,47,1406,7,65.9,TicchettioEstrusore;SottoEstrusione,GuastoMeccanico
PLA,284,75,94,46,4786,18,51.5,TempInstabile;VentolaRumorosa,GuastoTermico
PETG,213,74,98,88,642,17,4.3,TempInstabile;OdoreBruciato,ProblemaElettrico
ASA,218,36,122,34,552,16,30.2,Warping;SchermoNero,ProblemaAdesione
NYLON,214,75,57,44,602,18,71.1,TempTroppoAlta;PiattoFreddo;VentolaRumorosa,GuastoTermico
ABS,252,50,125,50,4906,31,71.6,TempTroppoAlta;PiattoFreddo;VentolaRumorosa,GuastoTermico
TPU,191,62,102,35,1160,19,65.9,LayerSpostati;TicchettioEstrusore,GuastoMeccanico
ABS,229,42,124,30,3916,54,55.8,LayerSpostati,GuastoMeccanico
PETG,193,60,137,61,3380,33,69.6,TempInstabile,GuastoTermico
PC,198,79,142,33,1709,21,10.7,TempInstabile;VentolaRumorosa,GuastoTermico
ASA,279,59,117,34,1441,13,38.3,TempTroppoAlta;PiattoFreddo;VentolaRumorosa,GuastoTermico
PC,219,38,65,50,1694,23,48.4,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
ASA,200,46,88,79,2707,10,4.7,TempInstabile,ProblemaElettrico
PC,216,58,84,67,3882,22,38.1,OdoreBruciato;HomeFallito;SchermoNero,ProblemaElettrico
ABS,193,64,96,73,3008,20,9.2,LayerSpostati,GuastoMeccanico
ABS,198,59,152,77,5424,35,32.7,RumoreCinghia;LayerSpostati;SottoEstrusione,GuastoMeccanico
TPU,240,26,63,55,2247,21,13.8,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PC,196,47,74,61,589,7,18.0,TempInstabile;OdoreBruciato;VentolaRumorosa,ProblemaElettrico
PC,205,24,113,74,2990,11,50.3,PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
TPU,204,50,181,35,5792,53,78.9,HomeFallito,GuastoMeccanico
ABS,213,73,143,59,3432,44,23.1,TicchettioEstrusore;HomeFallito,GuastoMeccanico
ASA,219,42,69,34,506,16,60.5,PiattoFreddo;VentolaRumorosa,ProblemaAdesione
TPU,221,67,200,55,3300,31,17.1,RumoreCinghia;LayerSpostati;TicchettioEstrusore,GuastoMeccanico
PLA,157,54,46,66,4120,5,28.9,TempInstabile;TempTroppoAlta;PiattoFreddo,GuastoTermico
TPU,159,56,91,76,2998,20,5.4,PiattoFreddo;VentolaRumorosa,GuastoTermico
PETG,227,80,128,66,2389,17,44.3,TempInstabile;OdoreBruciato;SchermoNero,ProblemaElettrico
ABS,266,68,141,48,3941,53,44.1,TempInstabile,GuastoTermico
PLA,218,44,117,61,3674,11,20.9,TempInstabile;HomeFallito,ProblemaElettrico
ABS,229,49,89,80,399,12,62.5,TempInstabile;OdoreBruciato;HomeFallito;SchermoNero,ProblemaElettrico
ASA,222,69,105,78,3886,7,21.0,HomeFallito,ProblemaElettrico
TPU,208,73,77,33,662,24,28.8,Warping;PiattoFreddo;FilamentoNonEsce;SchermoNero,ProblemaAdesione
PETG,213,70,45,93,2557,19,60.4,TempInstabile;OdoreBruciato;HomeFallito,ProblemaElettrico
ASA,238,54,125,33,2176,24,38.6,TicchettioEstrusore,GuastoMeccanico
ABS,231,56,115,61,4167,52,71.2,HomeFallito,GuastoMeccanico
ASA,150,45,115,73,2971,6,31.4,PiattoFreddo;HomeFallito,GuastoTermico
ASA,165,76,85,39,4576,5,93.1,SchermoNero;TempInstabile;PiattoFreddo;VentolaRumorosa,GuastoTermico
ABS,216,21,128,47,2791,22,17.9,PiattoFreddo,ProblemaAdesione
PC,239,80,91,95,2379,22,74.4,TempInstabile,ProblemaElettrico
PC,221,71,97,55,3465,20,57.4,Warping;FilamentoNonEsce,ProblemaAdesione
PETG,162,66,40,54,1565,10,77.4,TempInstabile;TempTroppoAlta;VentolaRumorosa,GuastoTermico
PLA,224,78,116,73,2298,20,9.6,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PLA,259,58,105,36,4365,5,64.6,VentolaRumorosa,GuastoTermico
PETG,192,21,120,81,2089,8,13.3,Warping;HomeFallito;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
TPU,216,67,100,81,3813,13,5.3,OdoreBruciato;TicchettioEstrusore,ProblemaElettrico
PLA,220,46,143,47,915,17,90.7,TempInstabile;OdoreBruciato;HomeFallito,ProblemaElettrico
ABS,213,49,132,52,3406,48,68.9,LayerSpostati;SchermoNero,GuastoMeccanico
ABS,198,70,126,74,1905,7,33.3,TempInstabile;OdoreBruciato;HomeFallito,ProblemaElettrico
ABS,192,52,101,49,3430,5,61.8,OdoreBruciato,ProblemaElettrico
PLA,197,68,76,59,3177,11,36.0,RumoreCinghia,GuastoMeccanico
PLA,232,54,118,69,914,25,89.4,PiattoFreddo,ProblemaAdesione
ABS,208,42,121,55,3014,59,18.0,Warping;PiattoFreddo,ProblemaAdesione
ASA,275,62,150,48,4110,56,50.8,TempInstabile;PiattoFreddo;VentolaRumorosa,GuastoTermico
TPU,234,56,61,36,270,21,59.2,TempInstabile;PiattoFreddo;VentolaRumorosa,GuastoTermico
PLA,236,75,66,69,1722,25,40.7,Warping;FilamentoNonEsce,ProblemaAdesione
PC,160,56,88,48,4331,12,71.2,TempInstabile;TempTroppoAlta;VentolaRumorosa,GuastoTermico
PC,237,65,124,47,2981,20,71.3,TempInstabile,GuastoTermico
PC,192,33,91,54,3661,20,84.3,TicchettioEstrusore;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
ASA,222,79,120,44,2629,9,23.2,OdoreBruciato,ProblemaElettrico
TPU,228,60,90,83,669,5,31.4,TempInstabile;OdoreBruciato;SchermoNero,ProblemaElettrico
PETG,168,73,130,40,4274,33,68.9,TempInstabile;PiattoFreddo;HomeFallito,GuastoTermico
PC,204,42,119,50,1417,5,18.2,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
ASA,169,43,77,75,1048,10,54.5,TempTroppoAlta;PiattoFreddo,GuastoTermico
PC,201,57,161,61,3407,30,20.5,TicchettioEstrusore;HomeFallito,GuastoMeccanico
ASA,198,47,118,57,1542,20,61.8,Warping;PiattoFreddo;FilamentoNonEsce;VentolaRumorosa,ProblemaAdesione
TPU,219,45,88,62,1156,9,14.9,TempInstabile;PiattoFreddo;VentolaRumorosa,GuastoTermico
PC,158,67,112,35,4978,17,88.9,TempInstabile;VentolaRumorosa,GuastoTermico
PLA,240,80,125,34,3691,34,87.1,TempInstabile;SchermoNero,ProblemaElettrico
PETG,222,59,148,76,2591,21,30.6,Warping;PiattoFreddo,ProblemaAdesione
ABS,201,63,47,66,1704,24,81.4,TempInstabile;TempTroppoAlta;PiattoFreddo,GuastoTermico
NYLON,264,79,47,51,2501,25,7.7,TempInstabile;TempTroppoAlta;VentolaRumorosa,GuastoTermico
PLA,262,48,49,61,1811,7,24.3,TempTroppoAlta,GuastoTermico
TPU,225,68,147,71,1937,6,50.0,TempInstabile;OdoreBruciato;SchermoNero,ProblemaElettrico
ASA,239,75,65,69,728,12,64.0,TempInstabile,ProblemaElettrico
TPU,195,77,104,33,2874,11,32.7,HomeFallito;SchermoNero,ProblemaElettrico
PC,284,51,40,49,4950,10,32.4,TempTroppoAlta;PiattoFreddo,GuastoTermico
ABS,169,68,105,33,1167,21,59.7,PiattoFreddo,GuastoTermico
ASA,192,51,124,51,3186,51,42.8,LayerSpostati,GuastoMeccanico
TPU,231,73,111,95,1975,20,7.4,TempInstabile,ProblemaElettrico
ABS,199,71,66,65,2153,25,52.7,LayerSpostati;SottoEstrusione;HomeFallito,GuastoMeccanico
PETG,281,72,143,58,2480,25,34.1,TempInstabile;SchermoNero,GuastoTermico
TPU,193,75,190,71,5133,42,78.1,LayerSpostati;TicchettioEstrusore;SottoEstrusione,GuastoMeccanico
NYLON,208,42,69,66,223,10,47.8,TempTroppoAlta,GuastoTermico
PC,222,49,48,33,2475,19,37.7,TempInstabile;VentolaRumorosa,GuastoTermico
PLA,211,51,99,53,2931,18,18.7,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
NYLON,193,20,49,92,2172,18,68.7,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
ASA,208,49,60,73,1706,14,5.9,TempTroppoAlta,GuastoTermico
TPU,194,54,124,59,345,16,24.0,SottoEstrusione;HomeFallito,GuastoMeccanico
PLA,218,60,48,68,2105,10,19.6,TicchettioEstrusore;SchermoNero,ProblemaElettrico
NYLON,234,38,77,80,1483,19,25.8,PiattoFreddo,ProblemaAdesione
ASA,206,78,75,80,3417,22,87.7,OdoreBruciato,ProblemaElettrico
TPU,193,23,109,91,2906,19,95.8,PiattoFreddo,ProblemaAdesione
PLA,213,54,115,46,2063,9,54.3,TempTroppoAlta,GuastoTermico
NYLON,238,53,67,78,2985,6,88.2,Warping,ProblemaAdesione
ASA,194,64,91,61,3762,20,16.5,TempInstabile;HomeFallito,ProblemaElettrico
PETG,236,72,113,57,3515,6,64.5,TempInstabile;PiattoFreddo,GuastoTermico
TPU,204,79,93,80,425,7,32.8,OdoreBruciato,ProblemaElettrico
PLA,216,72,93,52,2406,18,62.8,TempInstabile;OdoreBruciato;SchermoNero,ProblemaElettrico
NYLON,163,41,138,47,2470,13,40.0,TempTroppoAlta,GuastoTermico
ABS,231,52,93,78,783,7,8.3,PiattoFreddo,GuastoTermico
PLA,216,40,164,62,3218,40,26.2,RumoreCinghia;LayerSpostati;SchermoNero,GuastoMeccanico
ASA,260,64,139,49,4781,42,24.1,TempInstabile,GuastoTermico
ASA,228,47,104,72,2146,5,49.8,OdoreBruciato;HomeFallito,ProblemaElettrico
ABS,194,60,142,30,2024,13,87.5,TempInstabile;OdoreBruciato;SchermoNero,ProblemaElettrico
PETG,193,42,49,81,203,25,10.5,Warping;TicchettioEstrusore;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
NYLON,204,77,67,62,2075,9,43.0,RumoreCinghia;TicchettioEstrusore,GuastoMeccanico
PETG,218,40,86,52,278,23,95.8,TempInstabile;SchermoNero,ProblemaElettrico
PETG,287,51,136,39,3539,58,44.2,TempInstabile;TempTroppoAlta,GuastoTermico
PLA,210,74,142,69,1852,21,49.9,TicchettioEstrusore;SottoEstrusione;HomeFallito,GuastoMeccanico
ASA,214,76,86,66,3903,9,12.8,PiattoFreddo,GuastoTermico
ABS,231,57,123,82,568,23,72.3,OdoreBruciato;HomeFallito;SchermoNero,ProblemaElettrico
PLA,203,34,94,75,1880,11,54.4,PiattoFreddo,ProblemaAdesione
ASA,274,56,103,38,3373,7,32.5,TempInstabile;TempTroppoAlta;VentolaRumorosa,GuastoTermico
ABS,196,66,149,42,4812,32,86.8,RumoreCinghia;TicchettioEstrusore;SottoEstrusione;HomeFallito,GuastoMeccanico
